2020-07-06 11:45:47.079 INFO  [3352] Logger 0 Initialized
2020-07-06 11:45:47.681 WARN  [25144] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:45:47.681 WARN  [25144] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:45:47.681 WARN  [25144] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:45:47.681 WARN  [25144] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:06.696 WARN  [9400] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:06.696 WARN  [9400] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:06.697 WARN  [9400] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:06.697 WARN  [9400] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:07.296 WARN  [4208] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:07.296 WARN  [4208] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:07.296 WARN  [4208] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:07.297 WARN  [4208] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:08.079 WARN  [11592] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:08.079 WARN  [11592] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:08.079 WARN  [11592] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:08.079 WARN  [11592] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:08.329 WARN  [21688] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:08.330 WARN  [21688] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:08.330 WARN  [21688] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:08.330 WARN  [21688] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:08.546 WARN  [20136] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:08.546 WARN  [20136] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:08.546 WARN  [20136] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:08.546 WARN  [20136] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:08.730 WARN  [23696] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:08.730 WARN  [23696] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:08.730 WARN  [23696] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:08.730 WARN  [23696] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:08.913 WARN  [21208] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:08.913 WARN  [21208] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:08.913 WARN  [21208] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:08.913 WARN  [21208] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:09.347 WARN  [25204] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:09.347 WARN  [25204] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:09.347 WARN  [25204] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:09.347 WARN  [25204] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:09.880 WARN  [18188] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:09.880 WARN  [18188] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:09.880 WARN  [18188] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:18.403 INFO  [9356] Logger 0 Initialized
2020-07-06 11:46:18.999 WARN  [12912] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:18.999 WARN  [12912] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:18.999 WARN  [12912] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:18.999 WARN  [12912] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:22.397 WARN  [26456] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:22.397 WARN  [26456] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:22.397 WARN  [26456] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:22.397 WARN  [26456] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:23.062 WARN  [22560] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:23.063 WARN  [22560] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:23.063 WARN  [22560] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:23.063 WARN  [22560] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 11:46:30.430 WARN  [23116] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 11:46:30.430 WARN  [23116] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 11:46:30.430 WARN  [23116] Opened an existing mutex when trying to create NamedMutex times_mutex
2020-07-06 11:46:30.430 WARN  [23116] Opened an existing mutex when trying to create NamedMutex qs_mutex
2020-07-06 12:27:43.280 INFO  [27360] Logger 0 Initialized
2020-07-06 12:41:13.312 INFO  [26852] Logger 0 Initialized
2020-07-06 12:41:14.616 WARN  [26852] Opened an existing mutex when trying to create NamedMutex gains_mutex
2020-07-06 12:41:14.616 WARN  [26852] Opened an existing mutex when trying to create NamedMutex refs_mutex
2020-07-06 12:41:14.616 WARN  [26852] Opened an existing mutex when trying to create NamedMutex times_mutex
