2020-05-11 10:19:08.495 INFO  [21980] Logger 0 Initialized
2020-05-11 10:19:08.952 WARN  [4224] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:19:08.952 WARN  [4224] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:19:20.321 WARN  [6116] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:19:20.321 WARN  [6116] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:19:51.349 WARN  [23348] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:19:51.349 WARN  [23348] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:19:56.660 WARN  [19380] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:19:56.661 WARN  [19380] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:22:01.173 WARN  [22848] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:22:01.173 WARN  [22848] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:33:33.922 INFO  [10604] Logger 0 Initialized
2020-05-11 10:33:51.174 WARN  [19184] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:33:51.174 WARN  [19184] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:33:52.610 WARN  [4224] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:33:52.610 WARN  [4224] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:33:59.335 WARN  [3644] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:33:59.335 WARN  [3644] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:34:00.482 WARN  [16028] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:34:00.482 WARN  [16028] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:34:01.315 WARN  [18440] Opened an existing mutex when trying to create NamedMutex sim1_mutex
2020-05-11 10:34:01.315 WARN  [18440] Opened an existing mutex when trying to create NamedMutex sim2_mutex
2020-05-11 10:34:02.626 WARN  [23356] Opened an existing mutex when trying to create NamedMutex sim1_mutex
